episode,avg_queue,avg_reward
0,3.532333333333335,195.02999999999994
1,3.391333333333333,191.8399999999999
2,3.2803333333333344,185.34999999999988
3,3.2486666666666686,189.2
4,3.565666666666667,202.28999999999988
5,3.615666666666669,192.7199999999999
6,3.9143333333333308,199.43
7,3.6683333333333312,192.82999999999987
8,3.012,182.81999999999988
9,3.705333333333334,194.47999999999985
10,3.8153333333333306,195.91000000000003
11,3.2396666666666665,184.68999999999986
12,3.337666666666664,191.95000000000002
13,3.4736666666666687,200.19999999999985
14,3.566,195.36
15,3.5760000000000023,193.81999999999985
16,3.152333333333335,194.91999999999996
17,3.549000000000001,193.2699999999999
18,3.525999999999999,191.39999999999992
19,3.5949999999999993,198.65999999999994
20,3.244666666666665,195.36000000000004
21,3.072666666666667,186.99999999999997
22,3.511333333333333,193.93000000000004
23,3.277000000000003,194.58999999999992
24,3.241666666666669,186.88999999999987
