episode,model_type,epsilon,global_step,agents,learning_rate,avg_reward,avg_queue,throughput,avg_travel_time,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
0,GNN-A2C,0.0,200,16,0.001,-1121.80625,4.328125,1821.0,16.59637561779242,1.0,0.0,-369.8730163574219,309084.03125,0.0,0.6875
1,GNN-A2C,0.0,400,16,0.001,-1268.7796875000001,4.89875,1895.0,17.71292875989446,1.0,0.0,-437.76788330078125,394556.84375,0.0,0.375
2,GNN-A2C,0.0,600,16,0.001,-1249.3953124999996,4.8128125,1877.0,17.990410229088972,1.0,0.0,-449.13995361328125,389862.0,0.0,0.375
3,GNN-A2C,0.0,800,16,0.001,-1086.8156249999997,4.2034375,1787.0,16.528259653049805,1.0,0.0,-403.79949951171875,293872.3125,0.0,0.375
4,GNN-A2C,0.0,1000,16,0.001,-1104.75,4.251875,1871.0,15.930518439337252,1.0,0.0,-423.8112487792969,295071.1875,0.0,0.5
5,GNN-A2C,0.0,1200,16,0.0008,-1183.0437500000003,4.5659375,1817.0,17.43093010456797,1.0,0.0,-474.2970275878906,344641.03125,0.0,0.4375
6,GNN-A2C,0.0,1400,16,0.0008,-1085.5359375000007,4.170625,1781.0,16.61650758001123,1.0,0.0,-452.651123046875,290430.03125,0.0,0.625
7,GNN-A2C,0.0,1600,16,0.0008,-1169.4578125,4.524375,1831.0,17.370835608956853,1.0,0.0,-506.080810546875,333001.65625,0.0,1.0
8,GNN-A2C,0.0,1800,16,0.0008,-1205.2203124999999,4.646875,1900.0,17.242105263157896,1.0,0.0,-547.3043823242188,359381.53125,0.0,0.5
9,GNN-A2C,0.0,2000,16,0.0008,-1186.83125,4.5846875,1873.0,17.311265349706353,1.0,0.0,-559.557373046875,346583.625,0.0,0.875
10,GNN-A2C,0.0,2200,16,0.00064,-1152.1953125000005,4.4284375,1844.0,16.89696312364425,1.0,0.0,-575.8703002929688,326124.8125,0.0,0.4375
11,GNN-A2C,0.0,2400,16,0.00064,-1132.421875,4.358125,1822.0,16.86608122941822,1.0,0.0,-586.0674438476562,318051.3125,0.0,0.625
12,GNN-A2C,0.0,2600,16,0.00064,-1266.3437499999989,4.884375,1899.0,17.770405476566616,1.0,0.0,-697.6160888671875,394825.03125,0.0,0.6875
13,GNN-A2C,0.0,2800,16,0.00064,-1171.2937499999996,4.516875,1941.0,16.26275115919629,1.0,0.0,-669.257080078125,337221.125,0.0,0.5625
14,GNN-A2C,0.0,3000,16,0.00064,-1246.9468749999992,4.8921875,1833.0,18.79214402618658,1.0,0.0,-751.33935546875,399761.15625,0.0,0.5
15,GNN-A2C,0.0,3200,16,0.0005120000000000001,-1148.1531249999998,4.4128125,1885.0,16.628116710875332,1.0,0.0,-737.4119262695312,329249.75,0.0,0.5
16,GNN-A2C,0.0,3400,16,0.0005120000000000001,-1112.2359375000003,4.2959375,1819.0,16.758658603628366,1.0,0.0,-747.6029052734375,307119.78125,0.0,0.625
17,GNN-A2C,0.0,3600,16,0.0005120000000000001,-1122.784375,4.33625,1862.0,16.44253490870032,1.0,0.0,-798.2910766601562,309904.46875,0.0,0.4375
18,GNN-A2C,0.0,3800,16,0.0005120000000000001,-1162.3296875,4.4896875,1855.0,17.150404312668464,1.0,0.0,-868.5315551757812,347529.1875,0.0,0.625
19,GNN-A2C,0.0,4000,16,0.0005120000000000001,-1332.0343749999988,5.121875,1860.0,19.032258064516128,1.0,0.0,-1068.09326171875,438403.75,0.0,0.3125
